campus_name,campus_location,rating,students,community_type,city,state,lat_long
William Paterson University of New Jersey,"Wayne, NJ",4.5,8000,small city,Wayne, NJ,"(38.4251958, -88.4197678)"
Gallaudet University,"Washington, DC",3.5,1454,large urban city,Washington, DC,"(38.8950368, -77.0365427)"
Whitman College,"Walla Walla, WA",3.0,1493,small city,Walla Walla, WA,"(46.2055155, -118.5174284)"
University of Wisconsin-Stevens Point,"Stevens Point, WI",4.5,8900,small city,Stevens Point, WI,"(44.5234467, -89.5844457)"
Georgia Southern University,"Statesboro, GA",3.5,21000,small town,Statesboro, GA,"(32.4490141, -81.7832912)"
Susquehanna University,"Selinsgrove, PA",3.0,2300,very small town,Selinsgrove, PA,"(40.8062437, -76.8607084)"
Dominican University of California,"San Rafael, CA",3.0,1531,small city,San Rafael, CA,"(37.9747795, -122.5316686)"
Texas State University,"San Marcos, TX",3.5,38000,small city,San Marcos, TX,"(29.8826436, -97.9405828)"
Skyline College,"San Bruno, CA",3.0,5599,small city,San Bruno, CA,"(37.6248536, -122.4145986)"
Salt Lake Community College,"Salt Lake City, UT",4.0,16158,large urban city,Salt Lake City, UT,"(40.7596198, -111.886797)"
Catawba College,"Salisbury, NC",2.0,1200,rural community,Salisbury, NC,"(51.0690613, -1.7954134)"
Nazareth College,"Rochester, NY",4.0,3000,small town,Rochester, NY,"(43.157285, -77.615214)"
Rhode Island College,"Providence, RI",2.5,5776,medium city,Providence, RI,"(41.8239891, -71.4128343)"
